prompt,chosen,rejected
What upgrades are required to enhance the Parrying Dagger's performance?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Poison Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat"
What upgrades are required to enhance the Pickaxe's performance?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Sacred Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Rotten Battle Hammer's performance?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Scavenger's Curved Sword?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Poison Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat"
What upgrades are required to enhance the Scythe's performance?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Serpent-God's Curved Sword?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Poison Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Shield of the Guilty?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Urumi's abilities?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Urumi's performance?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Cold Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Vulgar Militia Shotel?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Wakizashi?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the Weathered Straight Sword?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Cold Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the damage potential of Monk's Flamemace?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Poison Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the performance of Celebrant's Cleaver?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the performance of Celebrant's Rib-Rake?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the performance of a Warpick?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Cold Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the performance of the Giant-Crusher?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the performance of the Sacrificial Axe?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the performance of the Vulgar Militia Saw?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to enhance the power of Troll's Golden Sword?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to improve the Beastman's Cleaver?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to improve the Morning Star's performance?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to improve the Omen Cleaver's performance?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to improve the performance of a Warpick?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce Bloodfiend's Arm?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce Nagakiba?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Sacred Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce Raptor Talons?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce the Bloodfiend's Fork?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce the Eclipse Crest Heater Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce the Giant-Crusher?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Heavy Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce the Inverted Hawk Heater Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce the Inverted Hawk Towershield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce the Shield of the Guilty?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades are required to reinforce the Venomous Fang?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades does Milady require to progress?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Sacred Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades does Pata require to improve its performance?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What upgrades does Pata require to progress?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Lightning Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Sacred Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What was the reason for Preceptor Seluvis and Gideon stopping their conversation?,"(See the next bullet point for even further context regarding this. ) Upon receiving Dolores as a puppet, it is discovered that Gideon and Seluvis were both in the Roundtable together, with Dolores. It is also noted that the two stopped talking because of her, implying a potential love triangle of sorts","(See the next bullet point for even further context regarding this. ) Upon receiving Dolores as a puppet, it is discovered that Gideon and Seluvis were both in the Roundtable together, with Dolores. It is also noted that the two stopped talking because of her, implying a potential love triangle of sorts"
Where can Ashes of War be found?,"Can be found on Igon's Greatbow after killing Igon in eastern Gravesite Plain Can be found by summoning Igon and then defeating Bayle The Dread , this will cause Igon to die at his previous location, just south-east of Foot of the Jagged Peak his body will have both Igon's Greatbow and Igon's set Found on Dueling Shield and Carian Thrusting Shield","Can be found by killing a scarab. Just south of Taylew's Ruined Forge entrance, near a bridge. It's hanging high on a pillar with some mobs underneath it. Shadow Keep : Take the left lift down from the Storehouse, first-floor site of grace. take the first exit to the right, and then the first one to the left. You will find this item on a corpse sitting on the rails"
Where can Catacomb Skeletons be found?,"2 can be found at the beginning of Deathtouched Catacombs , 1 before the first set of stairs and 1 afterward around the corner. (Note: The skeleton model holds an Iron Roundshield , but will drop the Scripture Wooden Shield. ) 2 of them can be found at the start of Auriza Hero's Grave , in the first safe spot on the right while going down the first slope","2 can be found at the beginning of Deathtouched Catacombs , 1 before the first set of stairs and 1 afterward around the corner. (Note: The skeleton model holds an Iron Roundshield , but will drop the Scripture Wooden Shield. ) From Skeletons in Gelmir Hero's Grave Can be dropped by Skeletons in Tombsward Catacombs. The Skeletons that may drop a Grossmesser do not use a shield or a bow, and can be recognized by their rolling move. Can be dropped by Skeletal Archers in catacombs or dungeons"
